Title,Price,Reduction,Rooms,Bathrooms,Meters,Province
"Casa o chalet con calefacción en Carrer D'oviedo, Sant Feliu de Guíxols ",323.000 €,-,3 habs.,2 baños,161 m²,girona
"Ático con terraza en Avinguda Castell D'aro, Castell-Platja d'Aro ",495.000 €,-,3 habs.,2 baños,120 m²,girona
"Casa o chalet en Carrer Xaloc, 1022, Maçanet de la Selva ",255.000 €,-,5 habs.,2 baños,214 m²,girona
"Casa o chalet con piscina en Carrer Madrid, Calonge ",1.090.000 €,-,5 habs.,6 baños,223 m²,girona
"Apartamento con terraza en Carrer Salins, Empuriabrava ",259.000 €,-,1 hab.,2 baños,56 m²,girona
"Apartamento con terraza en Sant Antoni, Calonge ",286.000 €,-,3 habs.,2 baños,84 m²,girona
Casa o chalet en Roses ,240.000 €, 39.000 €,2 habs.,2 baños,75 m²,girona
"Piso con piscina en Rafael Maso, Vilablareix ",265.000 €,-,3 habs.,2 baños,94 m²,girona
Casa o chalet en Empuriabrava ,634.000 €,-,4 habs.,3 baños,195 m²,girona
"Casa o chalet con piscina en Avinguda Volendam, L'Estartit ",630.000 €,-,6 habs.,5 baños,190 m²,girona
"Piso con terraza en Carrer Cala de Salionç, Tossa de Mar ",145.000 €,-,3 habs.,1 baño,64 m²,girona
"Apartamento con terraza en Carretera Sant Feliu a S'agaró, Sant Feliu de Guíxols ",780.000 €,-,3 habs.,2 baños,120 m²,girona
"Casa adosada con terraza en Avinguda de la Bocana, Roses ",445.000 €,-,3 habs.,4 baños,115 m²,girona
"Piso con terraza en Montilivi, Girona Capital ",330.000 €,-,3 habs.,2 baños,82 m²,girona
"Casa o chalet en Carrer Cerdanya, 1002, Maçanet de la Selva ",160.000 €,-,4 habs.,2 baños,110 m²,girona
"Casa o chalet en Carrer de L'escarlet, 008, Maçanet de la Selva ",189.000 €,-,3 habs.,2 baños,139 m²,girona
"Piso con ascensor en Carrer de la Moreneta, Salt ",165.000 €,-,2 habs.,2 baños,78 m²,girona
"Casa o chalet con terraza en Carrer Santa Magdalena, Sant Feliu de Guíxols ",270.000 €,-,4 habs.,2 baños,120 m²,girona
Piso con terraza en Girona Capital ,260.000 €,-,3 habs.,2 baños,103 m²,girona
"Casa o chalet en C/ Nicaragua, Lloret de Mar ",152.000 €, 17.000 €,5 habs.,3 baños,199 m²,girona
"Dúplex en Av Verona Terol, Castell-Platja d'Aro ",270.000 €, 25.000 €,2 habs.,1 baño,71 m²,girona
"Dúplex en Av Verona Terol, Castell-Platja d'Aro ",270.000 €, 25.000 €,2 habs.,1 baño,71 m²,girona
"Casa adosada con terraza en Carrer del Troc, Llívia ",542.000 €,-,3 habs.,2 baños,210 m²,girona
"Casa adosada con terraza en Madrid, Sant Feliu de Guíxols ",265.000 €,-,4 habs.,1 baño,192 m²,girona
"Casa o chalet en Emporda, 777, Maçanet de la Selva ",160.000 €,-,6 habs.,2 baños,110 m²,girona
"Piso en C/ Josep María Prat, Girona Capital ",66.000 €, 9.300 €,3 habs.,1 baño,54 m²,girona
Casa o chalet en Empuriabrava ,1.075.000 €,-,3 habs.,2 baños,150 m²,girona
"Casa o chalet con terraza en Carrer Pep Ventura, Sant Miquel de Fluvià ",390.000 €,-,3 habs.,2 baños,115 m²,girona
"Casa o chalet con terraza en Carrer Coma, Llançà ",560.000 €, 30.000 €,4 habs.,3 baños,245 m²,girona
"Casa o chalet con terraza en Carrer Montseny, Empuriabrava ",279.000 €,-,3 habs.,4 baños,103 m²,girona
